"Date","Price","Open","High","Low","Vol.","Change %"
"31/12/2025","6,845.50","6,898.82","6,901.42","6,844.55","","-0.74%"
"30/12/2025","6,896.24","6,900.44","6,913.25","6,893.47","","-0.14%"
"29/12/2025","6,905.74","6,903.60","6,920.21","6,888.76","","-0.35%"
"26/12/2025","6,929.94","6,936.02","6,945.77","6,921.60","","-0.03%"
"24/12/2025","6,932.05","6,904.91","6,937.32","6,904.91","","0.32%"
"23/12/2025","6,909.79","6,872.41","6,910.88","6,868.81","","0.46%"
"22/12/2025","6,878.49","6,865.21","6,882.03","6,855.74","","0.64%"
"19/12/2025","6,834.50","6,792.62","6,840.02","6,792.62","","0.88%"
"18/12/2025","6,774.76","6,778.06","6,816.13","6,758.50","","0.79%"
"17/12/2025","6,721.43","6,802.88","6,812.26","6,720.43","","-1.16%"
"16/12/2025","6,800.26","6,800.12","6,819.27","6,759.74","","-0.24%"
"15/12/2025","6,816.51","6,860.19","6,861.59","6,801.49","","-0.16%"
"12/12/2025","6,827.41","6,886.85","6,899.85","6,801.79","","-1.07%"
"11/12/2025","6,901.00","6,861.30","6,903.46","6,833.45","","0.21%"
"10/12/2025","6,886.68","6,833.49","6,900.67","6,824.69","","0.67%"
"09/12/2025","6,840.51","6,840.61","6,864.92","6,837.43","","-0.09%"
"08/12/2025","6,846.51","6,875.20","6,878.27","6,827.19","","-0.35%"
"05/12/2025","6,870.40","6,866.32","6,895.78","6,858.29","","0.19%"
"04/12/2025","6,857.12","6,866.47","6,866.47","6,827.12","","0.11%"
"03/12/2025","6,849.72","6,815.29","6,862.42","6,810.43","","0.30%"
"02/12/2025","6,829.37","6,830.96","6,851.55","6,806.71","","0.25%"
"01/12/2025","6,812.63","6,812.30","6,843.65","6,799.94","","-0.53%"
"28/11/2025","6,849.09","6,822.52","6,850.86","6,819.75","","0.54%"
"26/11/2025","6,812.61","6,793.55","6,831.44","6,783.87","","0.69%"
"25/11/2025","6,765.88","6,697.03","6,776.40","6,659.98","","0.91%"
"24/11/2025","6,705.12","6,636.54","6,715.75","6,630.70","","1.55%"
"21/11/2025","6,602.99","6,555.77","6,660.05","6,521.92","","0.98%"
"20/11/2025","6,538.76","6,737.93","6,770.35","6,534.05","","-1.56%"
"19/11/2025","6,642.16","6,625.84","6,689.75","6,603.50","","0.38%"
"18/11/2025","6,617.32","6,641.19","6,666.63","6,574.32","","-0.83%"
"17/11/2025","6,672.41","6,713.61","6,754.50","6,638.90","","-0.92%"
"14/11/2025","6,734.11","6,672.14","6,774.31","6,646.87","","-0.05%"
"13/11/2025","6,737.49","6,826.47","6,828.05","6,724.72","","-1.66%"
"12/11/2025","6,850.92","6,867.77","6,869.91","6,829.62","","0.06%"
"11/11/2025","6,846.61","6,815.64","6,855.13","6,806.87","","0.21%"
"10/11/2025","6,832.43","6,785.36","6,841.32","6,770.56","","1.54%"
"07/11/2025","6,728.80","6,696.18","6,730.11","6,631.44","","0.13%"
"06/11/2025","6,720.32","6,787.59","6,796.68","6,707.51","","-1.12%"
"05/11/2025","6,796.29","6,769.77","6,829.78","6,763.11","","0.37%"
"04/11/2025","6,771.55","6,788.52","6,820.21","6,766.71","","-1.17%"
"03/11/2025","6,851.97","6,882.32","6,882.32","6,820.62","","0.17%"
"31/10/2025","6,840.20","6,879.17","6,879.17","6,814.26","","0.26%"
"30/10/2025","6,822.34","6,860.50","6,880.75","6,820.69","","-0.99%"
"29/10/2025","6,890.59","6,910.95","6,920.34","6,851.91","","0.00%"
"28/10/2025","6,890.89","6,897.74","6,911.30","6,870.73","","0.23%"
"27/10/2025","6,875.16","6,845.46","6,877.28","6,843.94","","1.23%"
"24/10/2025","6,791.69","6,772.07","6,807.11","6,772.07","","0.79%"
"23/10/2025","6,738.44","6,703.65","6,749.53","6,700.14","","0.58%"
"22/10/2025","6,699.40","6,741.34","6,741.75","6,655.69","","-0.53%"
"21/10/2025","6,735.35","6,736.75","6,752.16","6,722.03","","0.00%"
"20/10/2025","6,735.13","6,690.05","6,744.35","6,690.05","","1.07%"
"17/10/2025","6,664.01","6,613.27","6,678.88","6,603.76","","0.53%"
"16/10/2025","6,629.07","6,689.02","6,709.34","6,593.99","","-0.63%"
"15/10/2025","6,671.06","6,688.27","6,724.12","6,612.11","","0.40%"
"14/10/2025","6,644.31","6,602.49","6,680.70","6,555.07","","-0.16%"
"13/10/2025","6,654.72","6,622.53","6,668.68","6,620.71","","1.56%"
"10/10/2025","6,552.51","6,740.49","6,762.40","6,550.78","","-2.71%"
"09/10/2025","6,735.11","6,760.50","6,764.58","6,716.17","","-0.28%"
"08/10/2025","6,753.72","6,723.87","6,755.64","6,718.09","","0.58%"
"07/10/2025","6,714.59","6,746.14","6,754.49","6,699.96","","-0.38%"
"06/10/2025","6,740.28","6,733.86","6,749.52","6,717.78","","0.36%"
"03/10/2025","6,715.79","6,722.14","6,750.87","6,705.67","","0.01%"
"02/10/2025","6,715.35","6,731.31","6,731.94","6,693.23","","0.06%"
"01/10/2025","6,711.20","6,664.92","6,718.48","6,656.20","","0.34%"
"30/09/2025","6,688.46","6,656.19","6,691.25","6,641.00","","0.41%"
"29/09/2025","6,661.21","6,661.58","6,677.31","6,644.49","","0.26%"
"26/09/2025","6,643.70","6,615.38","6,648.97","6,604.43","","0.59%"
"25/09/2025","6,604.72","6,608.19","6,619.00","6,569.22","","-0.50%"
"24/09/2025","6,637.97","6,669.79","6,672.66","6,621.76","","-0.28%"
"23/09/2025","6,656.92","6,692.44","6,699.52","6,645.58","","-0.55%"
"22/09/2025","6,693.75","6,654.28","6,698.88","6,648.07","","0.44%"
"19/09/2025","6,664.36","6,647.11","6,671.82","6,630.31","","0.49%"
"18/09/2025","6,631.96","6,626.85","6,656.80","6,611.89","","0.48%"
"17/09/2025","6,600.35","6,604.87","6,624.39","6,551.15","","-0.10%"
"16/09/2025","6,606.76","6,624.13","6,626.99","6,600.11","","-0.13%"
"15/09/2025","6,615.28","6,603.49","6,619.62","6,602.07","","0.47%"
"12/09/2025","6,584.29","6,590.66","6,600.21","6,579.49","","-0.05%"
"11/09/2025","6,587.47","6,554.41","6,592.89","6,545.80","","0.85%"
"10/09/2025","6,532.04","6,550.29","6,555.97","6,516.34","","0.30%"
"09/09/2025","6,512.61","6,503.33","6,518.23","6,483.08","","0.27%"
"08/09/2025","6,495.15","6,498.09","6,508.67","6,483.29","","0.21%"
"05/09/2025","6,481.50","6,529.08","6,532.65","6,443.98","","-0.32%"
"04/09/2025","6,502.08","6,456.60","6,502.54","6,445.98","","0.83%"
"03/09/2025","6,448.26","6,445.82","6,453.67","6,416.17","","0.51%"
"02/09/2025","6,415.54","6,401.51","6,416.54","6,360.58","","-0.69%"
"29/08/2025","6,460.26","6,489.28","6,491.76","6,444.57","","-0.64%"
"28/08/2025","6,501.86","6,483.84","6,508.23","6,466.96","","0.32%"
"27/08/2025","6,481.40","6,462.26","6,487.06","6,457.84","","0.24%"
"26/08/2025","6,465.94","6,435.49","6,468.37","6,429.21","","0.41%"
"25/08/2025","6,439.32","6,457.67","6,466.89","6,438.06","","-0.43%"
"22/08/2025","6,466.91","6,384.59","6,478.89","6,384.59","","1.52%"
"21/08/2025","6,370.17","6,380.83","6,393.65","6,352.71","","-0.40%"
"20/08/2025","6,395.78","6,406.62","6,408.40","6,343.86","","-0.24%"
"19/08/2025","6,411.37","6,446.24","6,456.48","6,400.22","","-0.59%"
"18/08/2025","6,449.15","6,445.02","6,455.35","6,437.70","","-0.01%"
"15/08/2025","6,449.80","6,477.38","6,481.34","6,441.85","","-0.29%"
"14/08/2025","6,468.54","6,453.46","6,473.92","6,441.07","","0.03%"
"13/08/2025","6,466.58","6,462.67","6,480.28","6,445.02","","0.32%"
"12/08/2025","6,445.76","6,395.17","6,446.55","6,385.76","","1.13%"
"11/08/2025","6,373.45","6,389.67","6,407.25","6,364.06","","-0.25%"
"08/08/2025","6,389.45","6,355.22","6,395.16","6,355.22","","0.78%"
"07/08/2025","6,340.00","6,374.32","6,389.71","6,310.32","","-0.08%"
"06/08/2025","6,345.06","6,309.30","6,352.83","6,301.11","","0.73%"
"05/08/2025","6,299.19","6,336.63","6,346.00","6,289.37","","-0.49%"
"04/08/2025","6,329.94","6,271.71","6,330.69","6,271.71","","1.47%"
"01/08/2025","6,238.01","6,287.28","6,287.28","6,212.69","","-1.60%"
"31/07/2025","6,339.39","6,427.02","6,427.02","6,327.64","","-0.37%"
"30/07/2025","6,362.90","6,381.23","6,396.54","6,336.38","","-0.12%"
"29/07/2025","6,370.86","6,405.62","6,409.26","6,363.92","","-0.30%"
"28/07/2025","6,389.77","6,397.69","6,401.07","6,375.79","","0.02%"
"25/07/2025","6,388.64","6,370.01","6,395.82","6,368.53","","0.40%"
"24/07/2025","6,363.35","6,368.60","6,381.31","6,360.57","","0.07%"
"23/07/2025","6,358.91","6,326.90","6,360.64","6,317.49","","0.78%"
"22/07/2025","6,309.62","6,306.60","6,316.12","6,281.71","","0.06%"
"21/07/2025","6,305.60","6,304.74","6,336.08","6,303.79","","0.14%"
"18/07/2025","6,296.79","6,312.95","6,315.61","6,285.27","","-0.01%"
"17/07/2025","6,297.36","6,263.40","6,304.69","6,262.27","","0.54%"
"16/07/2025","6,263.70","6,254.50","6,268.12","6,201.59","","0.32%"
"15/07/2025","6,243.76","6,295.29","6,302.04","6,241.68","","-0.40%"
"14/07/2025","6,268.56","6,255.15","6,273.31","6,239.22","","0.14%"
"11/07/2025","6,259.75","6,255.68","6,269.44","6,237.60","","-0.33%"
"10/07/2025","6,280.46","6,266.80","6,290.22","6,251.44","","0.27%"
"09/07/2025","6,263.26","6,243.33","6,269.16","6,231.43","","0.61%"
"08/07/2025","6,225.52","6,234.03","6,242.70","6,217.75","","-0.07%"
"07/07/2025","6,229.98","6,259.04","6,262.07","6,201.00","","-0.79%"
"03/07/2025","6,279.35","6,246.46","6,284.65","6,246.46","","0.83%"
"02/07/2025","6,227.42","6,193.88","6,227.60","6,188.29","","0.47%"
"01/07/2025","6,198.01","6,187.25","6,210.78","6,177.97","","-0.11%"
"30/06/2025","6,204.95","6,193.36","6,215.08","6,174.97","","0.52%"
"27/06/2025","6,173.07","6,150.70","6,187.68","6,132.35","","0.52%"
"26/06/2025","6,141.02","6,112.09","6,146.52","6,107.27","","0.80%"
"25/06/2025","6,092.16","6,104.23","6,108.51","6,080.09","","0.00%"
"24/06/2025","6,092.18","6,061.21","6,101.76","6,059.25","","1.11%"
"23/06/2025","6,025.17","5,969.67","6,028.77","5,943.23","","0.96%"
